toxic_comment	neutral_comment1	neutral_comment2	neutral_comment3
и,чё,блядь где этот херой был до этого со своими доказательствами?	Ну и где этот герой был,со своими доказательствами?	Где этот герой был до этого со своими доказательствами?	и,где этот герой был до этого со своими доказательствами?
О, а есть деанон этого петуха?	О, а есть деанон		
херну всякую пишут,из-за этого лайка.долбоебизм.	Чушь всякую пишут, из- за этого лайка.	Ерунду всякую пишут,из-за этого лайка.	
из за таких пидоров мы и страдаем	из за таких плохих людей мы и страдаем	Из-за таких людей мы и страдаем	из за таких как он мы и страдаем
гондон путинский он а не артист	Человек Путина он, а не артист		
как урод такую херню пишет???	кто такую ерунду пишет		
в гсвг за такие сапоги пиздюлей получил бы от сослуживцев	В ГСВГ за такие сапоги наказали бы сослуживцы		
Скудоумие это свойство личности проявлять умственную ограниченность. И где здесь обзывание?	Слабоумие это свойство личности проявлять умственную ограниченность. И где здесь обзывание?		
Спасибо! Потому что предвзятость модераторов начинает напрягать - модерируют как бык поссал.	Спасибо! Потому что предвзятость модераторов начинает раздражать-модерируют спустя рукава.	Спасибо! Потому что предвзятость модераторов начинает напрягать.	
У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)	У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)		
Он про марихуану и вообще дуй отсюда, пока твой батя новый аккаунт не спалил.	Он про марихуану и вообще иди отсюда пока твой батя новый аккаунт не спалил		
слышишь тыпиздед! что то вы помощники россии не едите жить в деревню, а прёте в города!	Что же вы помощники России не едите жить в деревню, а все в городе едите?	Что-то вы, помощники России,  не едете жить в деревню, а живете в городах	
ну и выродки,это твой ребёнок,зачем ты сучка рожала.	ну и люди,это твой ребёнок,зачем ты рожала.		
людям нам тоесть что выбросов нет вешают людям машиной якобы какой то контроль держат ничего козлы не контролируют	Людям нам то есть что выбросов нет вешают людям машиной якобы какой то контроль держат ничего не контралируют		
позорник кадони поддержал зажравшегося меньщикова... без команды боится ребят поддержать и поставить придурка на место...	Кадони поддержал меньшикова. Без команды боится ребят поддержать и поставить его на место.		
сергей алонцев а ты приедь ко мне в гости на дальний восток чёрт ёбанный сам услышиш	сергей алонцев а ты приедь ко мне в гости на дальний восток  сам услышиш	Сергей алонцев а ты приедь ко мне в гости на дальний восток сам услышишь	
Почему у росгвардейца гибддшная палочка?	Почему у росгварлейца полицейский жезл?		
мы всегда лучше вас жили и живём . черти вы ебанные . иди жопу мой ванючка	мы всегда лучше вас жили и живём		
какой нахрен вид на жительство,он пид)р визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить	какой еще вид на жительство? он визу показывает,чтоб резиденцию испанскую получить. надо 3.5 года прожить или недвижимость дорогую купить	какой  вид на жительство,он  визу показывает,чтоб резиденцию испанскую получить надо 3.5 года прожить или недвижимость дорогую купить	Какой вид на жительство? Он визу показывает, чтоб резиденцию испанскую получить, нужно 3,5 года прожить или недвижимость дорогую купить
